cik_str,sic,sicDescription
11975,3950,"Pens, Pencils & Other Artists' Materials"
12180,3560,General Industrial Machinery & Equipment
17225,,
12228,,
16972,,
12105,5411,Retail-Grocery Stores
17123,,
12208,3826,Laboratory Analytical Instruments
16918,2080,Beverages
11987,1623,"Water, Sewer, Pipeline, Comm & Power Line Construction"
14463,,
17313,,
12203,4955,Hazardous Waste Management
17237,,
12040,5812,Retail-Eating  Places
16988,3861,Photographic Equipment & Supplies
12265,,
14407,4911,Electric Services
17271,,
12388,4813,Telephone Communications (No Radiotelephone)
17485,5912,Retail-Drug Stores and Proprietary Stores
12311,,
13310,,
14169,,
12239,6211,"Security Brokers, Dealers & Flotation Companies"
12400,4911,Electric Services
14423,1311,Crude Petroleum & Natural Gas
17493,,
12245,5030,Wholesale-Lumber & Other Construction Materials
17732,6141,Personal Credit Institutions
12318,8880,American Depositary Receipts
17283,,
12406,,
17292,,
12469,,
13299,,
14698,,
12570,3060,"Fabricated Rubber Products, NEC"
17527,8200,Services-Educational Services
12355,3540,Metalworkg Machinery & Equipment
12449,,
17544,4813,Telephone Communications (No Radiotelephone)
12600,,
17914,,
12518,,
17872,,
12500,,
17996,,
12532,,
17385,6331,"Fire, Marine & Casualty Insurance"
12602,,
18026,,
12473,4911,Electric Services
17482,8742,Services-Management Consulting Services
12603,,
18169,0100,Agricultural Production-Crops
12635,3420,"Cutlery, Handtools & General Hardware"
17797,4931,Electric & Other Services Combined
12707,3420,"Cutlery, Handtools & General Hardware"
12601,,
13246,8880,American Depositary Receipts
13352,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services"
18109,,
20975,6798,Real Estate Investment Trusts
21151,,
20691,6799,"Investors, NEC"
21180,,
20657,,
21178,,
21221,6513,Operators of  Apartment Buildings
20740,3714,Motor Vehicle Parts & Accessories
21076,2842,"Specialty Cleaning, Polishing and Sanitation Preparations"
21031,,
21319,,
21247,,
21310,3841,Surgical & Medical Instruments & Apparatus
21167,,
22620,4922,Natural Gas Transmission
17927,5812,Retail-Eating  Places
21239,1311,Crude Petroleum & Natural Gas
22460,7377,Services-Computer Rental & Leasing
18128,,
22444,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)"
18239,,
20469,5190,Wholesale-Miscellaneous Nondurable Goods
22120,6311,Life Insurance
17940,,
18148,,
22703,,
18230,3531,Construction Machinery & Equip
22735,8062,"Services-General Medical & Surgical Hospitals, NEC"
17843,3312,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)"
20810,3560,General Industrial Machinery & Equipment
22701,1700,Construction - Special Trade Contractors
18382,,
21175,6331,"Fire, Marine & Casualty Insurance"
22828,,
18366,4833,Television Broadcasting Stations
22370,,
18172,5051,Wholesale-Metals Service Centers & of fices
21166,,
21344,2080,Beverages
22698,4899,"Communications Services, NEC"
18443,2820,"Plastic Material, Synth Resin/Rubber, Cellulos (No Glass)"
22764,8060,Services-Hospitals
18441,6798,Real Estate Investment Trusts
20195,,
22366,2721,Periodicals: Publishing or  Publishing & Printing
18497,6141,Personal Credit Institutions
18429,7990,Services-Miscellaneous Amusement & Recreation
20232,7330,"Services-Mailing, Reproduction, Commercial Art & Photography"
20769,,
24058,6021,National Commercial Banks
18180,,
20358,,
20520,4813,Telephone Communications (No Radiotelephone)
24100,,
18396,7363,Services-Help Supply Services
22788,9995,Non-Operating Establishments
18349,6021,National Commercial Banks
22709,7389,"Services-Business Services, NEC"
18255,5621,Retail-Women's Clothing Stores
22767,4911,Electric Services
18564,6022,State Commercial Banks
22864,0000,
18508,6331,"Fire, Marine & Casualty Insurance"
22551,1311,Crude Petroleum & Natural Gas
18347,,
22865,0000,
18620,6022,State Commercial Banks
22962,3661,Telephone & Telegraph Apparatus
18572,,
22871,,
18647,4931,Electric & Other Services Combined
22912,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys"
18540,4911,Electric Services
22606,4911,Electric Services
18605,6792,Oil Royalty Traders
20276,,
20388,6172,Finance Lessors
21847,,
23023,3577,"Computer Peripheral Equipment, NEC"
18651,4931,Electric & Other Services Combined
19747,,
19913,6795,Mineral Royalty Traders
19950,,
20081,,
20199,6798,Real Estate Investment Trusts
20430,6282,Investment Advice
20947,6189,Asset-Backed Securities
24119,,
18783,5051,Wholesale-Metals Service Centers & of fices
18713,,
18675,4911,Electric Services
18734,4911,Electric Services
23070,,
18779,,
18672,4911,Electric Services
22896,7370,"Services-Computer Programming, Data Processing, Etc."
18654,4931,Electric & Other Services Combined
24148,6512,Opeators of  Nonresidential Buildings
18748,,
18568,6021,National Commercial Banks
23055,7372,Services-Prepackaged Software
18787,4813,Telephone Communications (No Radiotelephone)
21327,2086,Bottled & Canned Soft Drinks & Carbonated Waters
24090,6311,Life Insurance
18922,,
18792,4813,Telephone Communications (No Radiotelephone)
20626,,
22390,6022,State Commercial Banks
18530,7374,Services-Computer Processing & Data Preparation
18914,6798,Real Estate Investment Trusts
22872,8000,Services-Health Services
18912,6153,Short-Term Business Credit Institutions
23120,9995,Non-Operating Establishments
18886,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels)
22989,7373,Services-Computer Integrated Systems Design
18827,3460,Metal Forgings & Stampings
23230,,
18873,6153,Short-Term Business Credit Institutions
23019,7373,Services-Computer Integrated Systems Design
19002,2836,"Biological Products, (No Diagnostic Substances)"
23111,7371,Services-Computer Programming Services
18934,6798,Real Estate Investment Trusts
23071,3679,"Electronic Components, NEC"
18532,1531,Operative Builders
21410,1221,Bituminous Coal & Lignite Surface Mining
23194,1311,Crude Petroleum & Natural Gas
18498,5661,Retail-Shoe Stores
20502,,
22362,,
18808,4911,Electric Services
19024,,
23082,7373,Services-Computer Integrated Systems Design
18905,6500,Real Estate
23236,3620,Electrical Industrial Apparatus
